meeting_title,source_url,text_snippet
County Council Meeting Minutes - 9th December 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_09_12_24_Minutes.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. M. Sheehan the Council resolved to"
County Council Meeting Minutes - 9th December 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_09_12_24_Minutes.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. J. Fleming the Council resolved to"
County Council Meeting Minutes - 9th December 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_09_12_24_Minutes.pdf,"On the proposal of Cllr. J. Sullivan, seconded by Cllr. D. McDonald the Council resolved to"
County Council Meeting Minutes - 9th December 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_09_12_24_Minutes.pdf,"On the proposal of Cllr. G. Carthy, seconded by Cllr. M. Sheehan the Council resolved to"
County Council Meeting Minutes - 9th December 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_09_12_24_Minutes.pdf,"On the proposal of Cllr. J. Fleming, seconded by Cllr. P. Barden the Council resolved to"
Statutory Budget Meeting Wexford County Council - 25th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/Statutory_Budget_Meeting_25_11_24_Minutes.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. D. Kenny, the Council resolved to adopt"
Statutory Budget Meeting Wexford County Council - 25th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/Statutory_Budget_Meeting_25_11_24_Minutes.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. D. Kenny, the Council resolved to adopt"
Statutory Budget Meeting Wexford County Council - 25th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/Statutory_Budget_Meeting_25_11_24_Minutes.pdf,"On the proposal of Cllr. J. O’Rourke, seconded by Cllr. O. Walsh, the Council resolved to retain"
Statutory Budget Meeting Wexford County Council - 25th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/Statutory_Budget_Meeting_25_11_24_Minutes.pdf,resolved to adopt the Annual Rate on Valuation of €0.253 applicable in the calculation of the
Statutory Budget Meeting Wexford County Council - 25th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/Statutory_Budget_Meeting_25_11_24_Minutes.pdf,"Lawlor, the Council resolved to adopt the Draft Budget for 2025 without amendment."
County Council Meeting Minutes - 11th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_11_11_24_Minutes.pdf,"On the proposal of Cllr. O. Walsh, seconded by Cllr. L. McDonald the Council resolved to"
County Council Meeting Minutes - 11th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_11_11_24_Minutes.pdf,committed to a review once the new arrangements are bedded in and will revert to a
County Council Meeting Minutes - 11th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_11_11_24_Minutes.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. M. Sheehan the Council resolved to"
County Council Meeting Minutes - 11th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_11_11_24_Minutes.pdf,"On the proposal of Cllr. J. Sullivan, seconded by Cllr. P. Kavanagh the Council resolved to"
County Council Meeting Minutes - 11th November 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_11_11_24_Minutes.pdf,"On the proposal of Cllr. G. Carthy, seconded by Cllr. J. Codd the Council resolved to lease"
County Council Meeting Minutes - 14th October 2024,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/County_Council_Meeting_14_10_24_Minutes.pdf,"On the proposal of Cllr. G. Carthy, seconded by Cllr. M. Sheehan the Council resolved"
County Council Meeting Minutes - 14th October 2024,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/County_Council_Meeting_14_10_24_Minutes.pdf,"On the proposal of Cllr. G. Lawlor, seconded by Cllr. A.R. O’Brien the Council resolved"
County Council Meeting Minutes - 14th October 2024,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/County_Council_Meeting_14_10_24_Minutes.pdf,"On the proposal of Cllr. G. Lawlor, seconded by Cllr. B.A. Murphy the Council resolved"
County Council Meeting Minutes - 14th October 2024,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/County_Council_Meeting_14_10_24_Minutes.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. B.A. Murphy the Council resolved to"
County Council Meeting Minutes - 14th October 2024,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/County_Council_Meeting_14_10_24_Minutes.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. B.A. Murphy the Council resolved to"
County Council Meeting Minutes - 9th September 2024 - Amended,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/County_Council_20240909_%20Amended_Minutes.pdf,"resolved to confirm the Minutes of the County Council Meeting on 8th July, 2024."
County Council Meeting Minutes - 9th September 2024 - Amended,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/County_Council_20240909_%20Amended_Minutes.pdf,"On the proposal of Cllr. A.R. O’Brien, seconded by Cllr. G. Carthy the Council resolved to"
County Council Meeting Minutes - 9th September 2024 - Amended,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/County_Council_20240909_%20Amended_Minutes.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. P. Kavanagh the Council resolved to"
County Council Meeting Minutes - 9th September 2024 - Amended,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/County_Council_20240909_%20Amended_Minutes.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. J. Fleming the Council resolved to"
County Council Meeting Minutes - 9th September 2024 - Amended,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/County_Council_20240909_%20Amended_Minutes.pdf,"On the proposal of Cllr. J. Fleming, seconded by Cllr. B. Murphy the Council resolved to"
County Council Meeting Minutes - 9th September 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council%20_Meeting_Minutes_090924.pdf,"resolved to confirm the Minutes of the County Council Meeting on 8th July, 2024."
County Council Meeting Minutes - 9th September 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council%20_Meeting_Minutes_090924.pdf,"On the proposal of Cllr. A.R. O’Brien, seconded by Cllr. G. Carthy the Council resolved to"
County Council Meeting Minutes - 9th September 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council%20_Meeting_Minutes_090924.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. P. Kavanagh the Council resolved to"
County Council Meeting Minutes - 9th September 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council%20_Meeting_Minutes_090924.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. J. Fleming the Council resolved to"
County Council Meeting Minutes - 9th September 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council%20_Meeting_Minutes_090924.pdf,"On the proposal of Cllr. J. Fleming, seconded by Cllr. B. Murphy the Council resolved to"
County Council Meeting Minutes - 8th July 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_Mins_2024_07_08.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. G. Lawlor the Council resolved"
County Council Meeting Minutes - 8th July 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_Mins_2024_07_08.pdf,"On the proposal of Cllr. G. Lawlor, seconded by Cllr. J. Fleming the Council resolved to"
County Council Meeting Minutes - 8th July 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_Mins_2024_07_08.pdf,"On the proposal of Cllr. A. Browne, seconded by Cllr. P. Kavanagh the Council resolved to"
County Council Meeting Minutes - 8th July 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_Mins_2024_07_08.pdf,"On the proposal of Cllr. B.A. Murphy, seconded by Cllr. P. Kavanagh the Council resolved to"
County Council Meeting Minutes - 8th July 2024,https://www.wexfordcoco.ie/sites/default/files/content/County_Council_Meeting_Mins_2024_07_08.pdf,"On the proposal of Cllr. A. Donohoe, seconded by Cllr. J. Sullivan the Council resolved to"
County Council Annual Meeting Minutes - 21st June 2024,https://www.wexfordcoco.ie/sites/default/files/content/Annual%20Meeting%20County%20Council%20Meeting%20Minutes%20%2021.06.24.pdf,"On the proposal of Cllr. A. Donohoe, seconded by Cllr. O. Walsh, the Members approved"
County Council Meeting Minutes - 13th May 2024 - Amended,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2013.05.24%20-%20Minutes%20Amended.pdf,On the proposal of Cllr. A. Connick and seconded by Cllr. G. Carthy the Council resolved to
County Council Meeting Minutes - 13th May 2024 - Amended,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2013.05.24%20-%20Minutes%20Amended.pdf,"On the proposal of Cllr. A. Browne, seconded by Cllr. K. Codd-Nolan the Council resolved to"
County Council Meeting Minutes - 13th May 2024 - Amended,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2013.05.24%20-%20Minutes%20Amended.pdf,"On the proposal of Cllr. L. Kelly, seconded by Cllr. M. Bell the Council resolved to transfer a"
County Council Meeting Minutes - 13th May 2024 - Amended,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2013.05.24%20-%20Minutes%20Amended.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. J. Fleming the Council resolved to dis-"
County Council Meeting Minutes - 13th May 2024 - Amended,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2013.05.24%20-%20Minutes%20Amended.pdf,"Following a request from the Members, it was agreed that this agenda item be deferred until a"
County Council Meeting Minutes - 13th May 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2013.05.24%20%20Minutes_0.pdf,On the proposal of Cllr. A. Connick and seconded by Cllr. G. Carthy the Council resolved to
County Council Meeting Minutes - 13th May 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2013.05.24%20%20Minutes_0.pdf,"On the proposal of Cllr. A. Browne, seconded by Cllr. K. Codd-Nolan the Council resolved to"
County Council Meeting Minutes - 13th May 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2013.05.24%20%20Minutes_0.pdf,"On the proposal of Cllr. L. Kelly, seconded by Cllr. M. Bell the Council resolved to transfer a"
County Council Meeting Minutes - 13th May 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2013.05.24%20%20Minutes_0.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. J. Fleming the Council resolved to dis-"
County Council Meeting Minutes - 13th May 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2013.05.24%20%20Minutes_0.pdf,"Following a request from the Members, it was agreed that this agenda item be deferred until a"
County Council Meeting Minutes - 8th April 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%208.04.24%20-%20Minutes.pdf,"On the proposal of Cllr. P. Breen, seconded by Cllr. P. Barden it was agreed to suspend standing orders to"
County Council Meeting Minutes - 8th April 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%208.04.24%20-%20Minutes.pdf,On the proposal of Cllr. M. Sheehan and seconded by Cllr. L. McDonald the Council resolved to
County Council Meeting Minutes - 8th April 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%208.04.24%20-%20Minutes.pdf,"On the proposal of Cllr. M. Sheehan, seconded by Cllr. P. Barden the Council resolved to transfer a"
County Council Meeting Minutes - 8th April 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%208.04.24%20-%20Minutes.pdf,"On the proposal of Cllr. C. Byrne, seconded by Cllr. J. Owens the Council resolved to transfer a portion"
County Council Meeting Minutes - 8th April 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%208.04.24%20-%20Minutes.pdf,"On the proposal of Cllr. O. Walsh, seconded by Cllr. J. Hegarty the Council resolved to dispose of a"
County Council Meeting Minutes - 11th March 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2011.03.24%20-%20Minutes.pdf,"On the proposal of Cllr. P. Breen, seconded by Cllr. C. Byrne it was agreed to suspend standing orders to"
County Council Meeting Minutes - 11th March 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2011.03.24%20-%20Minutes.pdf,On the proposal of Cllr. L. McDonald and seconded by Cllr. B.A. Murphy the Council resolved
County Council Meeting Minutes - 11th March 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2011.03.24%20-%20Minutes.pdf,"On the proposal of Cllr. G. Lawlor, seconded by Cllr. T. Forde the Council resolved to dispose"
County Council Meeting Minutes - 11th March 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2011.03.24%20-%20Minutes.pdf,"On the proposal of Cllr. M. Whelan, seconded by Cllr. J. Fleming the Council resolved to lease"
County Council Meeting Minutes - 11th March 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2011.03.24%20-%20Minutes.pdf,"Cllr. M. Bell, the Council resolved to approve the Part 8 for the construction of 4 no. social housing"
County Council Meeting Minutes - 12th February 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2012.02.24%20-%20Minutes.pdf,On the proposal of Cllr. B.A. Murphy and seconded by Cllr. M. Sheehan the Council resolved
County Council Meeting Minutes - 12th February 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2012.02.24%20-%20Minutes.pdf,resolved to confirm the Minutes of the County Council (Housing) Meeting on 8th January
County Council Meeting Minutes - 12th February 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2012.02.24%20-%20Minutes.pdf,"On the proposal of Cllr. G. Lawlor, seconded by Cllr. J. Hegarty the Council resolved to renew"
County Council Meeting Minutes - 12th February 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2012.02.24%20-%20Minutes.pdf,"On the proposal of Cllr. D. Kenny, seconded by Cllr. J. Sullivan the Council resolved to dispose"
County Council Meeting Minutes - 12th February 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2012.02.24%20-%20Minutes.pdf,"Cllr. T. Forde, the Council resolved to approve the Part 8 for the construction of 60 no. units in a mix"
County Council Meeting Minutes - 8th January 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2008.01.24%20-%20Minutes.docx.pdf,On the proposal of Cllr. B.A. Murphy and seconded by Cllr. M. Sheehan the Council resolved to
County Council Meeting Minutes - 8th January 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2008.01.24%20-%20Minutes.docx.pdf,"On the proposal of Cllr. J. Fleming, seconded by Cllr. M. Sheehan the Council resolved to dispose of"
County Council Meeting Minutes - 8th January 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2008.01.24%20-%20Minutes.docx.pdf,"On the proposal of Cllr. J. Fleming, seconded by Cllr. M. Sheehan the Council resolved to lease land"
County Council Meeting Minutes - 8th January 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2008.01.24%20-%20Minutes.docx.pdf,"On the proposal of Cllr. L. Kelly, seconded by Cllr. A. Donohoe the Council resolved to dispose of a"
County Council Meeting Minutes - 8th January 2024,https://www.wexfordcoco.ie/sites/default/files/content/County%20Council%20Meeting%2008.01.24%20-%20Minutes.docx.pdf,"Cllr. D. Kenny, the Council resolved to approve the Part 8 for the construction of 5 no. dwellings,"
County Council Meeting Minutes Special Housing - 8th January 2024,https://www.wexfordcoco.ie/sites/default/files/content/Special%20(Housing)%20County%20Council%20Meeting%2008.01.24%20-%20Minutes..pdf,"under construction, and another 409 are approved."
County Council Meeting - 11th December 2023,https://wexfordcoco.ie/sites/default/files/media/doc/2024/County%20Council%20Meeting%2011.12.23%20-%20Minutes.docx.pdf,On the proposal of Cllr. B.A. Murphy and seconded by Cllr. W. Kavanagh the Council resolved to
County Council Meeting - 11th December 2023,https://wexfordcoco.ie/sites/default/files/media/doc/2024/County%20Council%20Meeting%2011.12.23%20-%20Minutes.docx.pdf,On the proposal of Cllr. G. Laffan and seconded by Cllr. P. Breen the Council resolved to confirm the
County Council Meeting - 11th December 2023,https://wexfordcoco.ie/sites/default/files/media/doc/2024/County%20Council%20Meeting%2011.12.23%20-%20Minutes.docx.pdf,On the proposal of Cllr. K. Codd-Nolan and seconded by Cllr. O. Walsh the Council resolved to
County Council Meeting - 11th December 2023,https://wexfordcoco.ie/sites/default/files/media/doc/2024/County%20Council%20Meeting%2011.12.23%20-%20Minutes.docx.pdf,"On  the  proposal  of  Cllr.  G.  Lawlor,  seconded  by  Cllr.  G.  Laffan  the  Council  resolved  to  dispose  of"
County Council Meeting - 11th December 2023,https://wexfordcoco.ie/sites/default/files/media/doc/2024/County%20Council%20Meeting%2011.12.23%20-%20Minutes.docx.pdf,"by Cllr. M. Whelan, the Council resolved to approve the Part 8 for the development of a 5 bedroom"
Statutory Budget Meeting Wexford County Council - 4th December 2023,https://www.wexfordcoco.ie/sites/default/files/content/Statutory-Budget-Meeting-04.12.23-Minutes.pdf,Members resolved to retain the ARV of €0.253.
Statutory Budget Meeting Wexford County Council - 4th December 2023,https://www.wexfordcoco.ie/sites/default/files/content/Statutory-Budget-Meeting-04.12.23-Minutes.pdf,Members resolved to retain the existing Small Business Support Scheme.
Statutory Budget Meeting Wexford County Council - 4th December 2023,https://www.wexfordcoco.ie/sites/default/files/content/Statutory-Budget-Meeting-04.12.23-Minutes.pdf,Members resolved to adopt the 2024 budget with an amendment to increase the Amenity
Special County Council Meeting - 29th November 2023,https://www.wexfordcoco.ie/sites/default/files/content/Special-County-Council-Meeting-29.11.23-Minutes.pdf,"of the Local Government Act, the Members resolved to allow a statement from Mr. T. Enright, Chief"
County Council Meeting - 13th November 2023,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-13.11.23-Minutes.pdf,"On  the  proposal  of  Cllr.  A.  Connick,  seconded  by  Cllr.  M.  Whelan  the  Council  resolved  to"
County Council Meeting - 13th November 2023,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-13.11.23-Minutes.pdf,"resolved to confirm the Minutes of County Council Meeting on 9th October 2023, as"
