councillor,role,count,raw_label
Bridin Murphy,proposer,11,B. Murphy
Aoife Rose O'Brien,proposer,11,L.  O’Brien
Pip Breen,proposer,10,P Breen
Michael Sheehan,proposer,10,Sheehan
Andrew Bolger,proposer,9,A. Bolger
Lorcan Allen,proposer,9,L. Allen
Jim Moore,proposer,9,J.  Moore
Cathal Byrne,proposer,9,"M. 
Byrne"
Paddy Kavanagh,proposer,9,P.  Kavanagh
Mcdonald Lawlor,proposer,9,Lawlor
Aidan Browne,proposer,8,J. Browne
Michael Sheehan,proposer,7,M Sheehan
John Fleming,proposer,7,J.  Fleming
Robert Ireton,proposer,7,R.  Ireton
Barbara-Anne Murphy,proposer,7,B. A.
Donohoe Devereux,proposer,7,D. Devereux
Frank Staples,proposer,6,F. Staples
Pat Barden,proposer,6,P. Barden
Ger Codd,proposer,6,K.  Codd
John Fleming,proposer,6,J Fleming
Pat Cody,proposer,6,P. Cody
Tony Dempsey,proposer,6,T.  Dempsey
Michael Sheehan,proposer,6,"M. 
Sheehan"
Pip Breen,proposer,6,P.  Breen
Bridin Murphy,proposer,6,BA Murphy
Vicky Barron,proposer,6,V. Barron
Ger Carthy,proposer,5,G.  Carthy
Bridin Murphy,proposer,5,B.A.  Murphy
Oliver Walsh,proposer,5,T. Walsh
David Hynes,proposer,5,D.  Hynes
Declan Macpartlin,proposer,5,D.  MacPartlin
George Lawlor,proposer,5,G Lawlor
Jim Moore,proposer,5,Jim Moore
Pat Kehoe,proposer,4,F.  Kehoe
Jim Moore,proposer,4,J Moore
Ted Howlin,proposer,4,T.  Howlin
D Kennedy,proposer,4,D.  Kennedy
John Hegarty,proposer,4,J.  Hegarty
John Hegarty,proposer,4,J Hegarty
Barbara-Anne Murphy,proposer,4,B.  A.
Joe Sullivan,proposer,4,J.  Sullivan
Michael Whelan,proposer,4,M.  Whelan
O'S,proposer,4,O’S
Oliver Walsh,proposer,4,C. Walsh
Donal Kenny,proposer,3,D. Kenny
Bridin Murphy,proposer,3,"B.A. 
Murphy"
Cathal Byrne,proposer,3,C. B.
Aoife Rose O'Brien,proposer,3,A. R.
Johnny Mythen,proposer,3,J.  Mythen
Oliver Walsh,proposer,3,O.  Walsh
Michael Whelan,proposer,3,M Whelan
Ted Howlin,proposer,3,"T. 
Howlin"
Michael Kinsella,proposer,3,M.  Kinsella
Cathal Byrne,proposer,3,Malcolm Byrne
Aoife Rose O'Brien,proposer,3,"L. 
O’Brien"
Bridin Murphy,proposer,3,"B.A.  
Murphy"
John O'Rourke,proposer,3,"J. 
O’Rourke"
Tom Forde,proposer,3,T Forde
Fionntain O'Suilleabhain,proposer,3,F O
David Hynes,proposer,3,D Hynes
Anthony Connick,proposer,3,A.  Connick
Tom Forde,proposer,3,Forde
Tom Forde,proposer,3,T  Forde
Anthony Donohoe,proposer,3,"A. 
Donohoe"
Jackser Owens,proposer,2,J Owens
John Dwyer,proposer,2,J.  Dwyer
Kathleen Codd-Nolan,proposer,2,K.  Codd-Nolan
Robert Ireton,proposer,2,B. Ireton
Farrell Doyle,proposer,2,K.  Doyle
D Kennedy,proposer,2,"D. 
Kennedy"
Farrell Doyle,proposer,2,"K. 
Doyle"
Michael Sheehan,proposer,2,Michael Sheehan
O O'Connell,proposer,2,O.  O’Connell
Joe Sullivan,proposer,2,"J. 
Sullivan"
Pat Barden,proposer,2,Barden
Ger Carthy,proposer,2,"G. 
Carthy"
Maura Bell,proposer,2,Bell
Jackser Whelan,proposer,2,Whelan
John O'Rourke,proposer,2,O’Rourke
Anthony Connick,proposer,2,Anthony Connick
David Hynes,proposer,2,Hynes
F Os,proposer,2,F. OS
John O'Rourke,proposer,2,J O’Rourke
Kenny Kelly,proposer,2,Kelly
Sheehan Seconded,proposer,2,Sheehan seconded
Hynes Hegarty,proposer,2,Hegarty
Cathal Byrne,proposer,2,Byrne
Forde And,proposer,2,Forde and
Bridin Murphy,proposer,2,"BA 
Murphy"
Jackser Owens,proposer,2,J. Owens
Cathal Byrne,proposer,2,C Byrne
Barbara-Anne Murphy,proposer,2,B A
Frank Staples,proposer,2,F
Ger Carthy,proposer,2,Carthy
Ger Carthy,proposer,2,G Carthy
Jim Codd,proposer,2,Jim Codd
Tom Forde,proposer,2,"T. 
Forde"
Farrell Doyle,proposer,2,C. Doyle
Farrell Doyle,proposer,2,M. Doyle
Lisa McDonald,proposer,2,McDonald
Frank Staples,proposer,2,R. Staples
Pat Kehoe,proposer,1,"P. 
Kehoe"
Deirdre Wadding,proposer,1,D. Wadding.
Cathal Byrne,proposer,1,M. Byrne.
Tony Dempsey,proposer,1,Tony Dempsey
Fleming Fitzharris,proposer,1,W.  Fitzharris
Fleming Fitzharris,proposer,1,W. Fitzharris
John Curtis,proposer,1,J. Curtis
Barbara Ann,proposer,1,Barbara Ann
John Curtis,proposer,1,J.  Curtis
Pat Reck,proposer,1,P Reck
Farrell Doyle,proposer,1,S. Doyle
Farrell Doyle,proposer,1,"S. 
Doyle"
K Codd-,proposer,1,K. Codd-
Anna Fenlon,proposer,1,A. Fenlon
Pat Cody,proposer,1,P.  Cody
Michael Kinsella,proposer,1,"M. 
Kinsella"
Jim Moore,proposer,1,Jim  Moore
Barbara-Anne Murphy,proposer,1,M.  Murphy
Paddy Kavanagh,proposer,1,"P. 

Kavanagh"
Pat Reck,proposer,1,"P. 
Reck"
Paddy Kavanagh,proposer,1,Paddy Kavanagh
Macpartlin Seconded,proposer,1,MacPartlin seconded
Paddy Kavanagh,proposer,1,"Paddy 
Kavanagh"
George Lawlor,proposer,1,George Lawlor
K,proposer,1,K
George Lawlor,proposer,1,"G. 
Lawlor"
Declan Macpartlin,proposer,1,"D. 
MacPartlin"
Aoife Rose O'Brien,proposer,1,L.O’Brien
Tony Dempsey,proposer,1,"T. 
Dempsey"
L Seconded,proposer,1,L.O’Brien seconded
Cathal Byrne,proposer,1,M Byrne
Pat Kehoe,proposer,1,"F. 
Kehoe"
O O',proposer,1,O. O’
Deirdre Wadding,proposer,1,"D. 
Wadding"
Aidan Browne,proposer,1,J.  Browne
Paddy Kavanagh,proposer,1,"P. 
Kavanagh"
Michael Whelan,proposer,1,Michael Whelan
F S,proposer,1,F. S
Farrell Doyle,proposer,1,"K.  
Doyle"
Aoife Rose O'Brien,proposer,1,"L.  
O’Brien"
Kenny Kelly,proposer,1,A.  Kelly
Johnny Mythen,proposer,1,"J. 
Mythen"
Anthony Connick,proposer,1,A. Conncik
Cllr A,proposer,1,Cllr.  A.
Donal Kenny,proposer,1,D.  Kenny
Pip Breen,proposer,1,Pip  Breen
Pat Moore,proposer,1,Moore
Sheehan Following,proposer,1,Sheehan. Following
Lawlor Following,proposer,1,Lawlor. Following
Cathal Byrne,proposer,1,"C. 
Byrne"
Ger Codd,proposer,1,Codd
Frank Staples,proposer,1,Staples
Hynes Seconded,proposer,1,Hynes seconded
Lisa McDonald,proposer,1,"L. 
McDonald"
Pip Breen,proposer,1,"P. 
Breen"
Frank Staples,proposer,1,"J. 
Staples"
Gary Laffan,proposer,1,"G. 
Laffan"
Fionntain O'Suilleabhain,proposer,1,F. O'Suilleabhain
Mary Farrell,proposer,1,"M. 
Farrell"
Gary Laffan,proposer,1,G Laffan
Joe Sullivan,proposer,1,J Sullivan
Pip Breen,proposer,1,Pip Breen
Byrne And,proposer,1,Byrne and
Joe Sullivan,proposer,1,Sullivan
George Lawlor,proposer,1,"G. 

Lawlor"
Whelan Following,proposer,1,"Whelan.  

Following"
Hynes And,proposer,1,Hynes and
Tom Forde,proposer,1,M. Forde
Donohoe Devereux,proposer,1,D.  Devereux
Willie Kavanagh,proposer,1,W.  Kavanagh
John Hegarty,proposer,1,John Hegarty.
Ireton,proposer,1,Ireton
Forde Fleming,proposer,1,Fleming
Johnny Mythen,proposer,1,Mythen
F O'Sullivan,proposer,1,F. O’Sullivan
Fionntain O'Suilleabhain,proposer,1,O’Suilleabhain
Fionntain O'Suilleabhain,proposer,1,F. O’Suilleabhain
Andrew Bolger,proposer,1,A.  Bolger
Bridin Murphy,proposer,1,BA  Murphy
Michael Whelan,proposer,1,"M.  
Whelan"
F O'S,proposer,1,F. O’S
K Codd-,proposer,1,K Codd-
John Hegarty,proposer,1,"J 
Hegarty"
David Hynes,proposer,1,D  Hynes
Lisa McDonald,proposer,1,L McDonald
Jim Moore,proposer,1,J  Moore
Fionntain O'Suilleabhain,proposer,1,F. O
G Carty,proposer,1,G. Carty
Carthy And,proposer,1,Carthy and
Hegarty And,proposer,1,Hegarty and
Pip Breen,proposer,1,Breen
Oliver Walsh,proposer,1,O  Walsh
A Donohue,proposer,1,A  Donohue
K Codd-,proposer,1,K  Codd-
Fionntain O'Suilleabhain,proposer,1,F O’Suilleabhain
Oliver Walsh,proposer,1,O Walsh
Jim Codd,proposer,1,J Codd
Darragh Mcdonald,proposer,1,D. McDonald
Pat Kehoe,proposer,1,P. Kehoe
Oliver Walsh,proposer,1,Tony  Walsh
Paddy Kavanagh,proposer,1,P. Kavanagh.
J O',proposer,1,J. O’
Cllr F,proposer,1,Cllr. F.
Barbara-Anne Murphy,proposer,1,Barbara Anne
Aidan Browne,proposer,1,A Browne
Mcdonald And,proposer,1,McDOnald and
Laffan And,proposer,1,Laffan and
Leonard Kelly,proposer,1,L.  Kelly
George Lawlor,proposer,1,G  Lawlor
Tom Forde,proposer,1,T. Forde.
Oliver Walsh,proposer,1,Catherine Walsh
Pat Kehoe,proposer,1,Pat Kehoe
Ger Carthy,proposer,1,Ger Carthy
Lisa McDonald,proposer,1,Lisa McDonald
Aidan Browne,proposer,1,A. Browne.
Mary Farrell,proposer,1,M. Farrell.
John Hegarty,proposer,1,J. Hegarty.
M Ball,proposer,1,M. Ball
Oliver Walsh,proposer,1,C.  Walsh
Donohoe Devereux,proposer,1,Diarmuid Devereux
Michael Sheehan,seconder,110,M. Sheehan
Bridin Murphy,seconder,78,B.A. Murphy
Cathal Byrne,seconder,77,M. Byrne
Pip Breen,seconder,74,P. Breen
David Hynes,seconder,66,D. Hynes
George Lawlor,seconder,59,G. Lawlor
John Fleming,seconder,58,J. Fleming
Mary Farrell,seconder,54,M. Farrell
Ger Codd,seconder,52,K. Codd
Jim Moore,seconder,52,J. Moore
Oliver Walsh,seconder,48,O. Walsh
Aoife Rose O'Brien,seconder,48,L. O’Brien
Michael Whelan,seconder,48,M. Whelan
Ger Carthy,seconder,46,G. Carthy
Anthony Donohoe,seconder,46,A. Donohoe
Leonard Kelly,seconder,40,L. Kelly
John Hegarty,seconder,37,J. Hegarty
Anthony Connick,seconder,37,A. Connick
Joe Sullivan,seconder,37,J. Sullivan
Ger Codd,seconder,34,P. Codd
Frank Staples,seconder,32,F.
Michael Sheehan,seconder,32,M. Sheehan.
Maura Bell,seconder,31,M. Bell
Tom Forde,seconder,30,T. Forde
Johnny Mythen,seconder,30,J. Mythen
Paddy Kavanagh,seconder,30,P. Kavanagh
Donal Kenny,seconder,26,D. Kenny
Deirdre Wadding,seconder,25,D. Wadding
Lisa McDonald,seconder,24,L. McDonald
Jim Codd,seconder,24,J. Codd
Farrell Doyle,seconder,24,K. Doyle
Robert Ireton,seconder,24,R. Ireton
Cathal Byrne,seconder,24,M.  Byrne
Cathal Byrne,seconder,24,C. Byrne
John O'Rourke,seconder,24,J. O’Rourke
Jackser Owens,seconder,23,J. Owens
Tony Dempsey,seconder,22,T. Dempsey
Kenny Kelly,seconder,21,A. Kelly
Willie Kavanagh,seconder,21,W. Kavanagh
Gary Laffan,seconder,20,G. Laffan
Pat Barden,seconder,20,P. Barden
Paddy Kavanagh,seconder,18,P. Kavanagh.
David Hynes,seconder,18,D. Hynes.
Pat Kehoe,seconder,17,F. Kehoe
Michael Sheehan,seconder,17,M.  Sheehan
George Lawlor,seconder,17,G.  Lawlor
George Lawlor,seconder,16,G. Lawlor.
D Kennedy,seconder,16,D. Kennedy
Bridin Murphy,seconder,16,B. Murphy
Aidan Browne,seconder,15,A. Browne
Johnny Mythen,seconder,14,J. Mythen.
Barbara-Anne Murphy,seconder,14,M. Murphy
Pat Reck,seconder,14,P. Reck
Aoife Rose O'Brien,seconder,14,A.R. O’Brien
Oliver Walsh,seconder,13,O. Walsh.
Ted Howlin,seconder,13,T. Howlin
Michael Sheehan,seconder,13,"M. 
Sheehan"
Deirdre Wadding,seconder,12,D. Wadding.
Jim Moore,seconder,12,J. Moore.
Kathleen Codd-Nolan,seconder,12,K. Codd-Nolan
Frank Staples,seconder,12,F. Staples
M Roche,seconder,11,M. Roche
Paddy Kavanagh,seconder,11,P.  Kavanagh
M Roche,seconder,11,M. Roche.
Ger Codd,seconder,10,P. Codd.
Michael Kinsella,seconder,10,M. Kinsella
Anthony Donohoe,seconder,9,A. Donohoe.
Bridin Murphy,seconder,9,B.A. Murphy.
Pip Breen,seconder,9,P.  Breen
Jim Moore,seconder,9,J.  Moore
Oliver Walsh,seconder,9,T. Walsh
Cathal Byrne,seconder,8,M. Byrne.
Lisa McDonald,seconder,8,L. McDonald.
Tom Forde,seconder,8,T. Forde.
Pip Breen,seconder,8,P. Breen.
D Kennedy,seconder,8,D. Kennedy.
Pat Cody,seconder,8,P. Cody
Andrew Bolger,seconder,8,A. Bolger
Jim Codd,seconder,7,J. Codd.
Donal Kenny,seconder,7,D. Kenny.
Kenny Kelly,seconder,7,A. Kelly.
Michael Sheehan,seconder,7,M Sheehan
Ted Howlin,seconder,7,T.  Howlin
John Dwyer,seconder,7,J. Dwyer
Donohoe Devereux,seconder,7,D. Devereux
Raymond Shannon,seconder,7,R. Shannon
Frank Staples,seconder,7,R. Staples
Vicky Barron,seconder,7,V. Barron
Frank Staples,seconder,6,F. Staples.
Ger Carthy,seconder,6,G. Carthy.
Tony Dempsey,seconder,6,T.  Dempsey
Aoife Rose O'Brien,seconder,6,L. O’Brien.
Ger Codd,seconder,6,P.  Codd
Aoife Rose O'Brien,seconder,6,L.  O’Brien
John Hegarty,seconder,6,J.  Hegarty
Paddy Kavanagh,seconder,6,"P. 
Kavanagh"
David Hynes,seconder,6,D.  Hynes
Oliver Walsh,seconder,6,C. Walsh
Aidan Browne,seconder,5,A. Browne.
Jackser Owens,seconder,5,J. Owens.
Fleming Fitzharris,seconder,5,W. Fitzharris
John Hegarty,seconder,5,J. Hegarty.
Farrell Doyle,seconder,5,K. Doyle.
O O'Connell,seconder,5,O. O’Connell
Cathal Byrne,seconder,5,C Byrne
Mary Farrell,seconder,5,M Farrell
Ted Howlin,seconder,5,"T. 
Howlin"
Michael Kinsella,seconder,5,M.  Kinsella
Ger Codd,seconder,5,"P. 
Codd"
Ted Howlin,seconder,5,T. Howlin.
Farrell Doyle,seconder,5,"K. 
Doyle"
Barbara-Anne Murphy,seconder,5,B. A.
John O'Rourke,seconder,5,O’Rourke
Pat Kehoe,seconder,5,P. Kehoe
Farrell Doyle,seconder,5,C. Doyle
Gary Laffan,seconder,4,G. Laffan.
Leonard Kelly,seconder,4,L. Kelly.
Mary Farrell,seconder,4,M.  Farrell
Fleming Fitzharris,seconder,4,W. Fitzharris.
Willie Kavanagh,seconder,4,W.  Kavanagh
John Fleming,seconder,4,J.  Fleming
Oliver Walsh,seconder,4,O Walsh.
Anna Fenlon,seconder,4,A. Fenlon.
Michael Kinsella,seconder,4,"M. 
Kinsella"
George Lawlor,seconder,4,"G. 
Lawlor"
Declan Macpartlin,seconder,4,D. MacPartlin
O O'Connell,seconder,4,O. O’Connell.
Mary Farrell,seconder,4,M. Farrell.
F Os,seconder,4,F. OS
Barbara-Anne Murphy,seconder,4,Barbara Anne
Farrell And,seconder,4,Farrell and
Ger Carthy,seconder,4,G Carthy
Tom Forde,seconder,4,T Forde
George Lawlor,seconder,4,G Lawlor
Aoife Rose O'Brien,seconder,3,A. R.
Bridin Murphy,seconder,3,B. Murphy.
John Dwyer,seconder,3,J. Dwyer.
Cathal Byrne,seconder,3,C. Byrne.
Robert Ireton,seconder,3,R.  Ireton
Robert Ireton,seconder,3,R. Ireton.
Bridin Murphy,seconder,3,B.A.  Murphy
Jim Moore,seconder,3,J Moore
Maura Bell,seconder,3,M Bell
M Roche,seconder,3,M.  Roche
Bridin Murphy,seconder,3,"B.A. 
Murphy"
John Fleming,seconder,3,J. Fleming.
Pat Cody,seconder,3,P.  Cody
Kathleen Codd-Nolan,seconder,3,K. Codd-Nolan.
K Codd-,seconder,3,K. Codd-
D Kennedy,seconder,3,"D. 
Kennedy"
Robert Ireton,seconder,3,B. Ireton
Cathal Byrne,seconder,3,"M. 
Byrne"
Frank Staples,seconder,3,F
L O',seconder,3,L. O’
Michael Whelan,seconder,3,M.  Whelan
Maura Bell,seconder,3,M.  Bell
Joe Sullivan,seconder,3,J.  Sullivan
Ger Codd,seconder,3,Kathleen Codd
A Donoghue,seconder,3,A. Donoghue
Jackser Whelan,seconder,3,W. Whelan
Doyle And,seconder,3,Doyle and
Pip Breen,seconder,3,P Breen
Ger Carthy,seconder,3,Ger Carthy
Pat Barden,seconder,3,P. Barden.
Aoife Rose O'Brien,seconder,3,A.R. O’Brien.
Lisa McDonald,seconder,2,"L. 
McDonald."
Pat Kehoe,seconder,2,P. Kehoe.
Nicky Boland,seconder,2,N. Boland.
Michael Sheehan,seconder,2,M.  Sheehan.
John O'Rourke,seconder,2,J.  O’Rourke
Anthony Donohoe,seconder,2,A.  Donohoe
Mary Farrell,seconder,2,"M. 
Farrell."
A Donohue,seconder,2,A Donohue
Oliver Walsh,seconder,2,Oliver Walsh
Donohoe Devereux,seconder,2,D Devereux
Barbara-Anne Murphy,seconder,2,"M. 
Murphy"
John Fleming,seconder,2,"J. 
Fleming"
Lorcan Allen,seconder,2,"L. 
Allen"
Barbara-Anne Murphy,seconder,2,B.  A.
Ger Carthy,seconder,2,L. Carthy
Lorcan Allen,seconder,2,L. Allen
John Curtis,seconder,2,J.  Curtis
Lorcan Allen,seconder,2,L.  Allen
Declan Macpartlin,seconder,2,D.  MacPartlin
Ger Carthy,seconder,2,L. Carthy.
Paddy Kavanagh,seconder,2,"P. 
Kavanagh."
D Kennedy,seconder,2,"D. 
Kennedy."
Robert Ireton,seconder,2,B. Ireton.
Tony Dempsey,seconder,2,T. Dempsey.
Tony Dempsey,seconder,2,"T. 
Dempsey"
Pat Reck,seconder,2,P.  Reck
Ger Codd,seconder,2,K.  Codd
Pat Kehoe,seconder,2,F. Kehoe.
O O',seconder,2,O. O’
Anthony Connick,seconder,2,A.  Connick
Farrell Doyle,seconder,2,K.  Doyle
Michael Whelan,seconder,2,"M. 
Whelan"
Michael Whelan,seconder,2,M. Whelan.
Kathleen Codd-Nolan,seconder,2,K.C. Nolan
F O',seconder,2,F. O’
Willie Kavanagh,seconder,2,"W. 
Kavanagh."
F S,seconder,2,F.O’ S
Pat Barden,seconder,2,P Barden
Tom Forde,seconder,2,Forde
Donal Kenny,seconder,2,D.  Kenny
Lisa McDonald,seconder,2,L.  McDonald
Pip Breen,seconder,2,Breen
Cathal Byrne,seconder,2,Byrne
Sheehan And,seconder,2,Sheehan and
Oliver Walsh,seconder,2,Oliver Walsh.
Tom Forde,seconder,2,Tom Forde
Lisa McDonald,seconder,2,L McDonald
Ger Carthy,seconder,2,G  Carthy
Darragh Mcdonald,seconder,2,D. McDonald
Farrell Doyle,seconder,2,C. Doyle.
Anthony Connick,seconder,2,"A. 
Connick"
Anthony Connick,seconder,2,A. Connick.
Anthony Donohoe,seconder,1,"A. 
Donohoe."
Bridin Murphy,seconder,1,"B.A. 
Murphy."
Frank Staples,seconder,1,"F. 
Staples."
Darragh Mcdonald,seconder,1,D. McDonald.
John Fleming,seconder,1,"J. 
Fleming."
Aidan Browne,seconder,1,"A. 
Browne."
Mary Farrell,seconder,1,M. Farrell..
Mary Farrell,seconder,1,"M. 
Farrell"
F Os,seconder,1,F.OS
Aoife Rose O'Brien,seconder,1,"L. 
O’Brien"
Paddy Kavanagh,seconder,1,"P. 

Kavanagh"
Deirdre Wadding,seconder,1,D.  Wadding
Frank Staples,seconder,1,F.  Staples
Farrell Doyle,seconder,1,"K. 
Doyle."
Tony Dempsey,seconder,1,T Dempsey
Whelan Following,seconder,1,"Whelan. 

following"
O O'Connell,seconder,1,O.  O’Connell
David Hynes,seconder,1,"D. 
Hynes"
Johnny Mythen,seconder,1,J.  Mythen
Ted Howlin,seconder,1,"T 
Howlin"
John Curtis,seconder,1,J. Curtis
Ted Howlin,seconder,1,T Howlin.
Barbara-Anne Murphy,seconder,1,M.  Murphy
Anna Fenlon,seconder,1,A.  Fenlon
Michael Kinsella,seconder,1,"M.  
Kinsella"
Anna Fenlon,seconder,1,"A. 
Fenlon."
Farrell Doyle,seconder,1,S. Doyle.
Michael Kinsella,seconder,1,M. Kinsella.
Kathleen Codd-Nolan,seconder,1,"K. 
Codd-Nolan."
Pat Cody,seconder,1,"P. 
Cody."
Barbara-Anne Murphy,seconder,1,M. Murphy.
Michael Kinsella,seconder,1,"M. 
Kinsella."
Pat Cody,seconder,1,P. Cody.
John Hegarty,seconder,1,"J. 
Hegarty."
L Cllr,seconder,1,"L.O’Brien. 
Cllr."
O'Brien Following,seconder,1,"O’Brien.  
Following"
Oliver Walsh,seconder,1,"O. 
Walsh."
Kathleen Codd-Nolan,seconder,1,K.  Codd-Nolan
R Ireeton,seconder,1,R.  Ireeton
Jim Moore,seconder,1,"J. 
Moore"
George Lawlor,seconder,1,"G. 
Lawlor."
Ger Codd,seconder,1,Pat Codd.
Oliver Walsh,seconder,1,"O. 
Walsh"
Jim Moore,seconder,1,"J.  
Moore"
Robert Ireton,seconder,1,"R. 
Ireton"
D Kennedy,seconder,1,D.  Kennedy
Jim Moore,seconder,1,"J 
Moore"
Michael Sheehan,seconder,1,M Sheehan.
Michael Sheehan,seconder,1,"M. 
Sheehan."
Pat Kehoe,seconder,1,F.  Kehoe
M Roche,seconder,1,M.  Roche.
Kenny Kelly,seconder,1,A.  Kelly
Aidan Browne,seconder,1,J. Browne
Cathal Byrne,seconder,1,"M. 
Byrne."
Gary Laffan,seconder,1,G.  Laffan
Willie Kavanagh,seconder,1,"W. 
Kavanagh"
Tony Dempsey,seconder,1,Tony Dempsey
Pip Breen,seconder,1,"P. 
Breen"
Anthony Donohoe,seconder,1,"A. 
Donohoe"
Kenny Following,seconder,1,"Kenny.  

Following"
Kenny And,seconder,1,Kenny and
Forde Page,seconder,1,"Forde.  

Page"
Staples And,seconder,1,Staples and
Oliver Walsh,seconder,1,O.  Walsh
Leonard Kelly,seconder,1,L.  Kelly
Anthony Connick,seconder,1,A. Conncik
Maura Bell,seconder,1,M. Bell.
Donohoe Devereux,seconder,1,D. Devereux.
Breen Approved,seconder,1,Breen approved
Forde And,seconder,1,Forde and
Frank Staples,seconder,1,J. Staples
Forde Following,seconder,1,Forde.  Following
Gary Laffan,seconder,1,Garry Laffan
Ger Carthy,seconder,1,"Ger 
Carthy."
Jackser Owens,seconder,1,J Owens.
Maura Bell,seconder,1,"M 
Bell."
John Hegarty,seconder,1,"J 
Hegarty."
John Hegarty,seconder,1,J Hegarty
Jim Codd,seconder,1,J Codd
Aidan Browne,seconder,1,A Browne
G Carty,seconder,1,G. Carty
F O'S,seconder,1,F.  O’S
Forde Fleming,seconder,1,Fleming
Johnny Mythen,seconder,1,Mythen
Breen And,seconder,1,Breen and
Paddy Kavanagh,seconder,1,Kavanagh
Mythen And,seconder,1,Mythen and
Bridin Murphy,seconder,1,BA Murphy
Roche A,seconder,1,"Roche 

A"
Ireton And,seconder,1,Ireton and
Roche,seconder,1,Roche.
Lisa McDonald,seconder,1,L.McDonald
Donohoe Devereux,seconder,1,D.  Devereux
F O'S,seconder,1,F. O’S
Anthony Connick,seconder,1,A Connick
Michael Whelan,seconder,1,M Whelan.
Jackser Owens,seconder,1,J  Owens
Michael Whelan,seconder,1,M Whelan
K Codd-,seconder,1,K Codd-
Kathleen Codd-Nolan,seconder,1,K Codd-Nolan
David Hynes,seconder,1,D  Hynes
Bridin Murphy,seconder,1,B  Murphy
Jim Codd,seconder,1,J  Codd
Frank Staples,seconder,1,F Staples
Bridin Murphy,seconder,1,B Murphy
George Lawlor,seconder,1,G  Lawlor
Michael Whelan,seconder,1,Michael Whelan
O'S,seconder,1,O’S
Mcdonald And,seconder,1,"McDonald 
and"
Michael Sheehan,seconder,1,Sheehan
Anthony Connick,seconder,1,Connick
Lisa McDonald,seconder,1,McDonald
Mcdonald And,seconder,1,McDonald and
Joe Sullivan,seconder,1,J Sullivan
John Fleming,seconder,1,"J 
Fleming"
Oliver Walsh,seconder,1,O Walsh
David Hynes,seconder,1,D Hynes
Fionntain O'Suilleabhain,seconder,1,F O
Gary Laffan,seconder,1,G Laffan
John Fleming,seconder,1,John Fleming
Jackser Owens,seconder,1,"J. 
Owens."
Aoife Rose O'Brien,seconder,1,"A.R. 

O’Brien."
Barbara-Anne Murphy,seconder,1,B.A.
O'Connell To,seconder,1,O’Connell  to
Paddy Kavanagh,seconder,1,Paddy Kavanagh
Johnny Mythen,seconder,1,Johnny  Mythen
John O'Rourke,seconder,1,"J. 
O’Rourke"
Willie Kavanagh,seconder,1,W. Kavanagh.
Oliver Walsh,seconder,1,T.  Walsh
Oliver Walsh,seconder,1,T. Walsh.
Mary Farrell,seconder,1,Mary Farrell
John Hegarty,seconder,1,"J. 
Hegarty"
Cllr F,seconder,1,Cllr. F.
Pat Barden,seconder,1,P Barden.
Leonard Kelly,seconder,1,L Kelly
Andrew Bolger,seconder,1,A Bolger
