meeting_file,meeting_title,meeting_date,councillor,status
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Staples Leonard,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Staples Sheehan,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Sullivan Donal,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Sullivan Staples,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,The Of,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Tom John,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Walsh Gary,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Walsh Sullivan,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Whelan George,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Whelan Walsh,present
County-Council-Annual-Meeting-20.06.22-Minutes,County Council Annual Meeting - 20th June 2022,2022-06-20,Willie David,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Aidan Browne,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Andrew Bolger,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Anthony Connick,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Anthony Donohoe,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Barbara Murphy,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Bridin Anne,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Cathal Byrne,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Codd Carthy,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,David Hynes,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Diarmuid Devereux,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Donal Kenny,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Frank Staples,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Gary Laffan,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Jackser Owens,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Jim Ger,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Jim Moore,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Joe Sullivan,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,John Fleming,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,John Hegarty,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,John O'Rourke,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Kathleen Codd-Nolan,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Leonard Kelly,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Lisa Mcdonald,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Mary Farrell,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Maura Bell,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Michael Sheehan,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Michael Whelan,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Oliver Walsh,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Pat Barden,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Pip Breen,present
County-Council-Annual-Meeting-26.06.23-Minutes,County Council Annual Meeting - 26th June 2023,2023-06-26,Willie Kavanagh,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Andrew Bolger,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Anthony Conncik,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Anthony Donohoe,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Cathal Byrne,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Codd Carthy,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Diarmuid Devereux,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Donal Kenny,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Fionntain O'Suilleabhain,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Gary Laffan,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,George Lawlor,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Jackser Owens,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Jim Ger,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Jim Moore,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Joe Sullivan,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,John Fleming,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,John Hegarty,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,John O'Rourke,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Kathleen Codd-Nolan,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Mary Farrell,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Maura Bell,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Michael Sheehan,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Michael Whelan,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Oliver Walsh,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Pat Barden,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Pip Breen,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Tom Forde,present
County-Council-Budget-Meeting-29.11.21-Minutes,County Council Budget Meeting Minutes 29th November 2021,2021-11-29,Willie Kavanagh,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Aidan Browne,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Andrew Bolger,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Anthony Connick,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Anthony Donohoe,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Barbara-Anne Murphy,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Bridin Murphy,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Codd Byrne,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,David Hynes,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Diarmuid Devereux,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Donal Kenny,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Fionntain O'Suilleabhain,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Gary Laffan,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,George Lawlor,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Jim Moore,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Jim Willie,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Joe Sullivan,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,John Fleming,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,John Hegarty,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,John O'Rourke,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Kathleen Codd-Nolan,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Kavanagh Cathal,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Mary Farrell,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Maura Bell,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Michael Sheehan,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Michael Whelan,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Oliver Walsh,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Pip Breen,present
County-Council-Budget-Meeting-Minutes-30.11.20,County Council Budget Meeting Minutes 30th November 2020,2020-11-30,Tom Forde,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Aidan Browne,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Andrew Bolger,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Anthony Connick,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Anthony Donohoe,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Barbara-Anne Murphy,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Bridin Murphy,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Codd Byrne,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,David Hynes,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Diarmuid Devereux,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Donal Kenny,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Fionntain O'Suilleabhain,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Frank Staples,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Gary Laffan,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,George Lawlor,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Jim Jackser,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Jim Moore,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,Joe Sullivan,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,John Fleming,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,John Hegarty,present
County-Council-Meeting-08.02.21-Minutes,County Council Meeting 8th February 2021 Minutes,2021-02-08,John O'Rourke,present
